数据日期,用户编号,地址码,地区码,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,计量方式,综合倍率,供电单位
2014-10-30,="0147900426",58000(E290),="4201",计量:2774243,5,-3.6,15.15,7.65,-1.05,-4.95,0.15,-1.05,9,3.45,59.85,72.45,101.4,83.1,62.55,84.15,92.1,102.9,78.45,11.85,1.95,-7.05,6.45,-0.15,3.3,1250,高供高计,1500,东新营业班
2014-10-31,="0147900426",58000(E290),="4201",计量:2774243,1,71.4,70.05,65.4,73.05,77.7,74.4,67.05,62.4,85.95,251.1,287.55,283.2,263.25,217.65,249.45,273.75,248.4,199.95,114.15,106.05,77.25,73.95,74.4,62.1,1250,高供高计,1500,东新营业班
2014-10-31,="0147900426",58000(E290),="4201",计量:2774243,5,-5.1,-4.2,-4.5,-3.75,-2.7,2.85,-4.35,-4.8,-4.5,89.4,107.25,110.7,115.5,97.8,96.45,118.95,94.95,72.3,8.85,-1.95,18.75,0.3,6.9,-1.35,1250,高供高计,1500,东新营业班
2014-11-01,="0147900426",58000(E290),="4201",计量:2774243,1,70.2,60,63.9,74.7,60.15,65.85,70.5,60,69.15,115.5,130.2,148.35,112.2,111.75,127.8,119.4,112.05,104.1,82.5,74.1,81.75,73.65,77.55,63.45,1250,高供高计,1500,东新营业班
2014-11-01,="0147900426",58000(E290),="4201",计量:2774243,5,-0.3,6,6.6,13.05,-7.5,-6.75,-0.9,-7.35,-7.2,-2.7,10.2,9,8.4,1.5,9.15,4.35,1.8,-2.85,12.9,-1.05,3.45,12.6,11.4,9.9,1250,高供高计,1500,东新营业班
2014-11-02,="0147900426",58000(E290),="4201",计量:2774243,1,69,68.7,71.85,70.5,65.55,70.2,63.9,71.4,62.85,82.5,96,81.6,94.95,76.8,94.8,72.45,75.3,73.65,71.25,74.7,74.25,87.15,71.7,67.95,1250,高供高计,1500,东新营业班
2014-11-02,="0147900426",58000(E290),="4201",计量:2774243,5,2.55,2.85,6.45,4.65,5.7,9,1.35,3.45,-5.25,5.7,14.55,8.25,9.6,-7.65,4.2,-4.35,0.9,-10.65,5.25,7.8,11.4,4.35,4.8,-1.35,1250,高供高计,1500,东新营业班
2014-11-03,="0147900426",58000(E290),="4201",计量:2774243,1,72,70.5,72.75,68.85,77.4,76.65,76.2,66.9,84.75,202.35,249.6,250.35,217.65,186.3,216.75,257.4,246.6,187.95,146.1,110.85,92.4,77.55,81.9,75.45,1250,高供高计,1500,东新营业班
2014-11-03,="0147900426",58000(E290),="4201",计量:2774243,5,-1.2,-1.05,-0.6,-4.65,7.35,6.9,0.15,-1.05,6,52.2,98.85,97.35,93.3,75.45,80.55,114,97.5,73.35,50.4,12.3,-0.45,5.1,4.95,2.55,1250,高供高计,1500,东新营业班
2014-11-04,="0147900426",58000(E290),="4201",计量:2774243,1,,,,,,,,,,,,,,,,,,,,,,,,,1250,高供高计,1500,东新营业班
2014-11-04,="0147900426",58000(E290),="4201",计量:2774243,5,2.7,-0.45,-0.6,-1.5,-2.1,-0.9,-0.6,1.35,-3,85.65,125.55,108.3,99.15,89.1,102.6,104.1,118.5,109.05,55.8,28.35,-7.5,10.65,7.95,-1.95,1250,高供高计,1500,东新营业班
2014-11-05,="0147900426",58000(E290),="4201",计量:2774243,1,70.65,71.1,69.9,67.95,59.55,67.8,61.5,68.4,86.55,233.4,240.45,286.65,245.85,235.05,235.65,267,284.25,234.3,131.4,101.55,93.9,75.6,80.7,77.55,1250,高供高计,1500,东新营业班
2014-11-05,="0147900426",58000(E290),="4201",计量:2774243,5,1.2,6.75,7.05,0.75,0,0.75,-0.3,0.45,6.9,99.6,82.95,114.75,123,97.35,89.4,114.15,123.3,90.75,32.55,7.5,7.8,7.8,1.2,3.9,1250,高供高计,1500,东新营业班
2014-11-06,="0147900426",58000(E290),="4201",计量:2774243,1,83.7,75.45,78.3,74.1,70.2,75.45,71.4,69.75,100.65,229.5,234.9,249.6,207.3,183,230.85,251.25,297.75,218.1,141.6,117.9,118.95,78.75,78.75,94.5,1250,高供高计,1500,东新营业班
2014-11-06,="0147900426",58000(E290),="4201",计量:2774243,5,4.35,2.55,3.75,-2.7,-3.15,-2.55,-3.9,-4.65,4.8,76.65,99.45,77.1,76.65,65.7,72.45,80.7,105.45,83.7,54.3,28.8,32.1,5.1,7.2,16.95,1250,高供高计,1500,东新营业班
2014-11-07,="0147900426",58000(E290),="4201",计量:2774243,1,87.3,86.4,106.95,86.1,84.75,79.05,81,73.05,93.3,220.2,258.45,308.7,228.45,205.8,241.05,242.85,257.4,223.95,126.6,123.3,81,85.8,79.65,83.25,1250,高供高计,1500,东新营业班
2014-11-07,="0147900426",58000(E290),="4201",计量:2774243,5,12,12.45,16.65,11.85,12.15,5.4,5.7,4.8,8.1,68.7,80.85,111.9,96.3,71.7,90.9,94.8,104.55,85.65,25.65,30.75,-5.1,3.15,0.9,1.65,1250,高供高计,1500,东新营业班
2014-11-08,="0147900426",58000(E290),="4201",计量:2774243,1,84.9,88.65,79.8,70.95,75.45,62.55,76.05,79.65,95.55,271.05,253.5,244.2,207.3,223.65,237.3,253.8,256.35,242.7,123.45,106.2,88.8,98.1,93.15,82.65,1250,高供高计,1500,东新营业班
2014-11-08,="0147900426",58000(E290),="4201",计量:2774243,5,12,3.6,10.5,-12.9,5.1,-10.35,-3.9,-3.15,4.2,82.95,85.65,97.5,83.25,79.2,88.05,101.7,100.05,108.9,31.2,16.2,-1.35,12.75,3.9,-1.05,1250,高供高计,1500,东新营业班
2014-11-09,="0147900426",58000(E290),="4201",计量:2774243,1,87.6,82.95,79.2,80.55,78.6,85.35,85.2,81.6,85.05,87.3,70.65,69.45,74.1,67.35,75.15,73.35,79.35,72.15,78.6,83.1,68.55,64.35,64.65,67.95,1250,高供高计,1500,东新营业班
2014-11-09,="0147900426",58000(E290),="4201",计量:2774243,5,0,5.7,4.05,2.25,-9,-2.55,-3.3,-5.4,1.8,-3.75,-7.8,-8.55,0.75,-0.45,4.35,4.95,6.45,5.25,5.85,0.3,5.55,4.65,10.5,3.3,1250,高供高计,1500,东新营业班
2014-11-10,="0147900426",58000(E290),="4201",计量:2774243,1,64.35,66.75,71.7,70.2,70.95,69,80.1,73.95,78.9,206.25,219.75,252,222.3,207,219,231.75,276.6,250.2,133.95,123.6,104.7,79.65,72.45,72.3,1250,高供高计,1500,东新营业班
2014-11-10,="0147900426",58000(E290),="4201",计量:2774243,5,2.55,2.85,7.2,8.1,7.65,8.1,8.7,7.65,5.4,67.65,66.3,84.75,77.7,54.6,66.15,78.6,98.7,97.2,23.55,15.9,5.55,12.6,4.95,5.7,1250,高供高计,1500,东新营业班
2014-11-11,="0147900426",58000(E290),="4201",计量:2774243,1,78.75,70.5,79.2,76.95,68.25,68.4,70.35,76.95,96.75,250.5,300.6,299.85,256.8,249,263.55,276.6,297.15,264.3,125.1,122.4,113.1,85.05,82.05,80.55,1250,高供高计,1500,东新营业班
2014-11-11,="0147900426",58000(E290),="4201",计量:2774243,5,7.5,4.65,6,6.3,5.25,5.4,6,12.45,12.45,88.05,104.1,117,109.95,92.1,94.65,100.05,105.15,100.65,5.1,-3.3,-4.2,6.45,1.05,1.05,1250,高供高计,1500,东新营业班
2014-11-12,="0147900426",58000(E290),="4201",计量:2774243,1,84.45,90.15,96,81.3,91.2,78.45,81.15,88.05,88.95,224.4,264.6,316.5,251.4,227.1,251.7,304.5,286.35,274.05,165.75,141.9,110.1,108.15,90.75,87.15,1250,高供高计,1500,东新营业班
2014-11-12,="0147900426",58000(E290),="4201",计量:2774243,5,1.95,9.15,7.65,5.55,10.95,3.75,0.75,1.05,1.35,57.6,91.65,106.05,94.2,79.95,84.45,109.8,115.05,110.4,48.75,36.75,-0.3,19.2,-3.45,-1.2,1250,高供高计,1500,东新营业班
2014-11-13,="0147900426",58000(E290),="4201",计量:2774243,1,78.75,80.7,81.6,82.5,79.65,76.5,79.05,78.45,93.6,231.3,271.2,280.5,227.7,210.15,253.8,279.45,261.6,222.15,120.6,103.65,100.35,96.45,91.5,79.2,1250,高供高计,1500,东新营业班
2014-11-13,="0147900426",58000(E290),="4201",计量:2774243,5,,,,,,,,,,,,,,,,,,,,,,,,,1250,高供高计,1500,东新营业班
2014-11-14,="0147900426",58000(E290),="4201",计量:2774243,1,82.8,74.7,80.1,87.9,89.4,83.7,81.6,86.25,106.8,236.1,255.3,271.05,269.7,216,250.65,265.05,265.35,238.2,102.75,97.5,85.95,85.2,82.2,81.15,1250,高供高计,1500,东新营业班
2014-11-14,="0147900426",58000(E290),="4201",计量:2774243,5,8.4,4.8,2.25,18.45,1.5,-0.3,-0.3,0,11.7,68.85,92.85,88.2,102.9,95.1,92.55,95.55,112.65,100.95,13.2,10.65,16.95,13.05,6.9,2.4,1250,高供高计,1500,东新营业班
2014-11-15,="0147900426",58000(E290),="4201",计量:2774243,1,79.5,76.8,70.05,63.3,61.2,65.85,64.5,69,79.65,86.7,95.7,97.8,90.45,78.3,90.45,80.55,78.15,68.4,64.05,61.95,64.5,69.9,72.45,70.8,1250,高供高计,1500,东新营业班
2014-11-15,="0147900426",58000(E290),="4201",计量:2774243,5,3,2.85,0.6,-1.65,-1.8,-1.2,-0.6,7.05,8.7,-8.85,-7.65,-5.4,-10.35,-13.95,-6,-1.95,0.6,5.55,2.25,2.55,2.4,3.6,9,7.95,1250,高供高计,1500,东新营业班
2014-11-16,="0147900426",58000(E290),="4201",计量:2774243,1,65.55,63.45,62.85,65.55,61.5,68.7,65.25,72.6,68.55,60.3,61.65,59.4,55.8,55.05,59.55,69.45,68.1,61.05,60.15,61.8,58.35,66.9,69.45,67.95,1250,高供高计,1500,东新营业班
2014-11-16,="0147900426",58000(E290),="4201",计量:2774243,5,8.55,-6.3,-6.9,-6.75,-7.2,-5.25,-6.3,0.6,6,6.3,5.85,2.4,3.3,-0.3,-6.3,-5.55,6.75,9.75,0.75,1.5,1.5,4.5,9.15,9.75,1250,高供高计,1500,东新营业班
2014-11-17,="0147900426",58000(E290),="4201",计量:2774243,1,71.55,64.65,63.15,63.3,58.8,59.1,60.9,69.9,81,205.8,256.2,247.8,233.1,213,278.7,265.05,256.95,235.65,90.45,81.15,70.8,66.75,67.95,62.1,1250,高供高计,1500,东新营业班
2014-11-17,="0147900426",58000(E290),="4201",计量:2774243,5,1.05,-1.8,3,-5.85,-6.9,-6.3,-3.3,0.3,9.9,62.7,94.05,99,98.4,80.7,102.45,103.5,103.65,94.65,9,8.25,8.1,5.7,3.9,-5.4,1250,高供高计,1500,东新营业班
2014-11-18,="0147900426",58000(E290),="4201",计量:2774243,1,61.05,65.7,65.4,71.1,63.3,60.9,61.2,66.3,76.65,217.2,243.3,236.1,197.85,193.95,192.6,228.15,218.4,195.15,122.25,101.25,97.35,76.35,75.75,71.25,1250,高供高计,1500,东新营业班
2014-11-18,="0147900426",58000(E290),="4201",计量:2774243,5,-6.15,0.75,-0.45,0.9,6,3.15,2.7,9,6,48.9,68.4,62.85,64.05,47.7,52.5,68.4,60.45,55.8,22.05,3,14.25,-2.1,-0.6,-6.45,1250,高供高计,1500,东新营业班
2014-11-19,="0147900426",58000(E290),="4201",计量:2774243,1,74.55,74.7,75,82.5,84.75,70.8,76.5,83.55,90.15,229.5,238.5,256.8,223.05,211.2,232.5,230.55,223.95,205.8,88.5,87.6,81,77.7,66.45,66.3,1250,高供高计,1500,东新营业班
2014-11-19,="0147900426",58000(E290),="4201",计量:2774243,5,-4.05,-5.55,-4.95,2.85,-1.8,2.7,-4.65,-11.1,3.45,53.55,66.45,74.1,70.2,69.6,67.35,66,62.85,63.6,-1.65,5.85,3.75,7.05,6.45,7.2,1250,高供高计,1500,东新营业班
2014-11-20,="0147900426",58000(E290),="4201",计量:2774243,1,65.25,58.2,68.25,58.95,62.1,57.3,64.05,62.1,78.15,174.3,198.3,188.55,175.65,147,188.1,221.55,224.85,242.4,160.8,148.35,147,89.85,78.75,71.55,1250,高供高计,1500,东新营业班
2014-11-20,="0147900426",58000(E290),="4201",计量:2774243,5,4.35,3.15,10.65,4.05,4.2,4.2,4.5,9.3,11.25,28.2,47.25,44.1,47.25,37.2,42.3,60.15,63.15,70.2,40.8,37.5,37.8,-0.6,-1.35,1.8,1250,高供高计,1500,东新营业班
2014-11-21,="0147900426",58000(E290),="4201",计量:2774243,1,75.6,70.5,74.7,81.45,74.7,76.8,64.65,64.8,76.5,217.95,260.4,256.95,237.75,201.3,224.85,239.7,265.5,260.1,103.35,76.2,81.15,73.35,74.25,65.1,1250,高供高计,1500,东新营业班
2014-11-21,="0147900426",58000(E290),="4201",计量:2774243,5,-0.75,-2.4,5.1,12.3,11.4,9.3,2.4,-6.15,-10.5,41.55,77.55,81.6,84.15,70.35,77.4,78.3,90.9,98.4,16.35,9.75,10.5,-0.15,-3.3,-4.65,1250,高供高计,1500,东新营业班
2014-11-22,="0147900426",58000(E290),="4201",计量:2774243,1,75.45,70.65,75.6,79.2,87.6,72.6,68.55,78.6,87.15,205.95,224.1,228.3,204.6,171.3,212.25,203.4,200.7,125.4,120.3,107.1,100.05,99.6,69.75,81,1250,高供高计,1500,东新营业班
2014-11-22,="0147900426",58000(E290),="4201",计量:2774243,5,-2.85,-3.75,2.85,3.75,4.5,0.3,-3.6,-1.2,-10.65,53.7,61.05,55.05,57.9,39.9,57.15,52.8,51.75,24.75,21.15,6.75,1.35,18,5.85,11.85,1250,高供高计,1500,东新营业班
2014-11-23,="0147900426",58000(E290),="4201",计量:2774243,1,76.2,77.1,73.5,81.6,81.9,82.5,76.65,76.5,71.85,84,87.15,80.25,95.7,86.4,77.1,92.55,84.9,83.85,78.9,72.45,74.55,70.95,68.85,66.3,1250,高供高计,1500,东新营业班
2014-11-23,="0147900426",58000(E290),="4201",计量:2774243,5,7.5,8.1,7.2,7.95,8.85,7.95,8.7,7.95,15.75,4.5,19.65,1.8,17.1,8.1,-6,8.4,10.95,7.05,8.1,7.05,10.35,10.2,-5.25,-4.35,1250,高供高计,1500,东新营业班
2014-11-24,="0147900426",58000(E290),="4201",计量:2774243,1,66.6,75.6,73.2,76.95,72,69.9,71.4,78.75,83.7,199.35,266.4,249.75,206.7,211.35,215.55,246,262.95,204.6,142.8,125.1,103.5,84.45,74.25,68.55,1250,高供高计,1500,东新营业班
2014-11-24,="0147900426",58000(E290),="4201",计量:2774243,5,-4.65,-3.75,2.7,3.45,-4.35,-4.35,-2.4,5.85,-0.15,53.7,69.3,66.6,64.5,60.3,59.85,79.5,92.55,69.75,50.1,32.1,7.65,4.95,4.5,4.5,1250,高供高计,1500,东新营业班
2014-11-25,="0147900426",58000(E290),="4201",计量:2774243,1,73.65,73.65,80.7,74.1,81.15,72.3,75.9,77.7,106.95,230.55,297.75,299.1,254.1,276.3,280.65,280.8,275.25,265.95,136.05,108.75,106.8,83.7,71.55,77.7,1250,高供高计,1500,东新营业班
2014-11-25,="0147900426",58000(E290),="4201",计量:2774243,5,3.9,-3.45,4.2,1.2,-4.65,2.4,5.85,1.65,11.4,67.95,92.85,106.2,96.9,90,102,106.8,111.15,107.85,45.75,25.2,20.55,12.6,11.7,12.3,1250,高供高计,1500,东新营业班
2014-11-26,="0147900426",58000(E290),="4201",计量:2774243,1,66.45,77.7,67.65,59.85,71.1,68.1,60.15,76.35,87.9,237,285.6,278.55,233.55,231.3,235.65,266.25,277.2,243.6,138.6,102.3,100.05,73.8,70.2,67.5,1250,高供高计,1500,东新营业班
2014-11-26,="0147900426",58000(E290),="4201",计量:2774243,5,-0.6,4.8,5.4,3.9,0.15,-0.9,-12.75,1.2,-5.4,75.3,94.65,94.2,90.3,78.6,79.2,88.5,95.1,87.9,31.65,7.2,2.55,4.65,3.6,4.5,1250,高供高计,1500,东新营业班
2014-11-27,="0147900426",58000(E290),="4201",计量:2774243,1,62.85,66.9,65.4,68.55,68.85,63.15,61.8,76.2,101.7,236.85,279.15,283.5,279.9,263.7,279.3,282,276.3,240.75,143.4,117.75,93,81.45,75.3,75.15,1250,高供高计,1500,东新营业班
2014-11-27,="0147900426",58000(E290),="4201",计量:2774243,5,0.9,1.05,0.75,0.75,1.35,1.2,0.9,8.4,15.6,71.25,104.25,88.8,92.55,87,97.65,103.8,95.55,85.35,33.45,11.1,19.35,4.35,0.15,6.75,1250,高供高计,1500,东新营业班
2014-11-28,="0147900426",58000(E290),="4201",计量:2774243,1,81.75,78.15,79.05,78.45,80.25,81,79.5,81.45,96,234,277.05,291.9,271.5,262.8,264.75,266.1,293.55,257.1,144.15,127.35,111.45,73.35,81.15,87.6,1250,高供高计,1500,东新营业班
2014-11-28,="0147900426",58000(E290),="4201",计量:2774243,5,12.3,7.2,8.85,10.05,10.35,9,8.7,10.2,9.45,62.85,106.35,94.2,101.25,80.7,88.2,97.65,122.25,103.95,46.5,25.5,7.8,3.3,-3.75,6.45,1250,高供高计,1500,东新营业班
2014-11-29,="0147900426",58000(E290),="4201",计量:2774243,1,66.75,68.25,80.85,64.95,78.9,84.3,85.5,72.3,70.35,98.85,111.3,122.4,108.45,125.4,110.85,119.85,115.05,119.25,112.2,92.25,82.35,88.35,95.4,76.35,1250,高供高计,1500,东新营业班
2014-11-29,="0147900426",58000(E290),="4201",计量:2774243,5,-9.45,1.35,-6.3,1.95,-6.9,9.6,1.65,-0.6,8.55,17.25,17.55,11.7,6,19.05,16.8,18.9,7.35,20.25,13.5,-7.2,-2.85,-2.1,15.15,14.25,1250,高供高计,1500,东新营业班
2014-11-30,="0147900426",58000(E290),="4201",计量:2774243,1,66.75,89.85,91.2,64.95,65.1,87.3,77.4,72.15,86.85,72.75,95.7,100.5,100.05,98.85,101.55,105.45,78,87.3,79.8,83.25,73.95,66.6,61.65,75.75,1250,高供高计,1500,东新营业班
2014-11-30,="0147900426",58000(E290),="4201",计量:2774243,5,-1.65,14.25,15.75,-1.8,-1.35,7.95,10.05,-1.5,7.8,-1.65,0,-10.35,-4.65,-4.5,1.05,-1.05,9.45,9.3,11.4,11.85,10.95,-1.8,7.5,16.8,1250,高供高计,1500,东新营业班
2014-12-01,="0147900426",58000(E290),="4201",计量:2774243,1,62.4,67.05,63.75,66.6,66.6,67.05,69,63.3,78.9,225.9,330,308.7,381.45,354.3,357.3,312,323.85,244.65,140.7,103.2,83.4,84.45,66.6,74.85,1250,高供高计,1500,东新营业班
2014-12-01,="0147900426",58000(E290),="4201",计量:2774243,5,8.7,9.9,8.7,9.15,9.6,10.2,10.35,8.4,8.85,61.65,105.75,103.8,162.15,149.55,145.65,105.15,121.8,75.45,35.55,7.65,-4.5,-5.4,7.05,12.6,1250,高供高计,1500,东新营业班
2014-12-02,="0147900426",58000(E290),="4201",计量:2774243,1,62.7,64.2,61.35,67.5,74.85,70.65,66.75,69.6,92.7,267.3,264.3,333.6,407.25,315.9,326.25,351,323.25,286.05,168,115.5,87.6,86.7,80.25,72.45,1250,高供高计,1500,东新营业班
2014-12-02,="0147900426",58000(E290),="4201",计量:2774243,5,4.8,1.8,1.8,4.05,5.4,9.75,2.55,5.1,8.85,62.25,73.05,110.85,170.25,134.7,134.1,130.5,120.6,120.75,49.8,12.3,-4.05,-5.4,-1.8,7.65,1250,高供高计,1500,东新营业班
2014-12-03,="0147900426",58000(E290),="4201",计量:2774243,1,64.35,67.8,64.05,71.85,77.7,67.05,67.5,62.55,79.35,297.6,356.1,389.1,351.45,340.2,370.05,390.9,352.2,327.9,221.55,144.9,111.45,94.5,80.55,73.95,1250,高供高计,1500,东新营业班
2014-12-03,="0147900426",58000(E290),="4201",计量:2774243,5,10.35,14.4,7.5,9.75,11.4,10.35,10.05,7.5,13.65,92.1,123.45,138.9,121.8,106.95,119.4,131.55,137.1,120.45,74.25,20.85,-4.35,-6.6,-6.6,4.05,1250,高供高计,1500,东新营业班
2014-12-04,="0147900426",58000(E290),="4201",计量:2774243,1,82.5,74.85,92.85,77.1,83.1,87.3,86.85,80.7,112.05,340.8,375.45,344.55,329.25,300,330.75,349.2,336.75,300.6,195,132.6,118.65,85.05,80.55,79.35,1250,高供高计,1500,东新营业班
2014-12-04,="0147900426",58000(E290),="4201",计量:2774243,5,3.75,-5.7,12.3,4.05,0.3,5.55,0.3,-6.6,17.1,101.55,118.65,99.3,110.55,108.15,112.65,136.35,110.25,115.65,65.85,25.5,13.05,-4.5,4.2,2.55,1250,高供高计,1500,东新营业班
2014-12-05,="0147900426",58000(E290),="4201",计量:2774243,1,73.5,78,69.75,70.8,74.25,69.9,77.1,76.05,102.75,468.9,461.85,423.6,345.3,290.25,313.05,317.4,302.85,317.85,143.55,140.7,101.1,81.75,80.85,78.9,1250,高供高计,1500,东新营业班
2014-12-05,="0147900426",58000(E290),="4201",计量:2774243,5,1.8,3.3,1.95,2.4,2.85,2.1,3,3.3,3,189.15,172.95,163.95,140.1,121.2,110.55,128.25,114.9,127.2,31.35,22.95,-3.45,-14.85,1.2,-9,1250,高供高计,1500,东新营业班
2014-12-06,="0147900426",58000(E290),="4201",计量:2774243,1,72.75,67.35,74.55,72,75.45,75.75,68.25,70.65,97.2,441.9,362.4,395.85,300.45,314.25,311.4,329.25,313.65,144.9,90,78.3,65.4,65.7,63.45,62.7,1250,高供高计,1500,东新营业班
2014-12-06,="0147900426",58000(E290),="4201",计量:2774243,5,-3.6,-9.75,-6.9,-9.15,-8.55,-5.85,-7.35,-10.35,3.6,157.05,123.9,165.6,137.25,131.7,123.75,144,124.05,27.3,7.5,15.45,14.1,9.3,7.5,7.2,1250,高供高计,1500,东新营业班
2014-12-07,="0147900426",58000(E290),="4201",计量:2774243,1,62.1,63.6,61.95,59.4,59.55,60.6,62.25,57,58.05,69.75,90.3,78.3,81.6,78.15,91.2,72.45,70.35,72.6,66.15,68.7,68.1,66.75,72,67.35,1250,高供高计,1500,东新营业班
2014-12-07,="0147900426",58000(E290),="4201",计量:2774243,5,8.4,8.25,8.4,7.5,7.8,7.65,5.55,5.1,-2.4,1.95,4.05,-1.95,-10.2,-1.65,11.1,-3.15,12.45,12.3,7.95,11.1,7.8,9.3,11.55,9,1250,高供高计,1500,东新营业班
2014-12-08,="0147900426",58000(E290),="4201",计量:2774243,1,64.95,65.7,67.65,65.4,69.9,61.05,69,63.9,76.05,288.15,335.55,336.75,275.55,247.2,258.6,257.4,272.55,240.6,142.5,130.2,120.6,81,70.35,66.3,1250,高供高计,1500,东新营业班
2014-12-08,="0147900426",58000(E290),="4201",计量:2774243,5,-0.9,-0.9,-0.3,-0.15,3.3,-1.95,1.95,-1.05,-1.05,88.8,131.4,119.85,104.55,94.95,94.5,87.6,101.55,80.4,43.2,34.65,9,-4.65,-3.15,-0.3,1250,高供高计,1500,东新营业班
2014-12-09,="0147900426",58000(E290),="4201",计量:2774243,1,68.85,74.4,66.6,68.1,67.5,64.35,64.65,72.15,91.5,308.7,363.6,380.25,458.4,389.25,418.65,415.2,409.2,383.85,151.5,126.15,88.95,86.4,78.9,79.2,1250,高供高计,1500,东新营业班
2014-12-09,="0147900426",58000(E290),="4201",计量:2774243,5,0.15,0.45,0,0,0.6,1.05,0.45,0,8.85,94.95,122.1,131.1,196.5,149.55,170.85,171.45,159.75,154.8,19.2,11.25,8.7,2.7,7.05,2.4,1250,高供高计,1500,东新营业班
2014-12-10,="0147900426",58000(E290),="4201",计量:2774243,1,78.45,69.45,71.85,86.55,90,100.35,79.95,73.95,99.75,351.15,378,398.85,441.75,436.2,462.6,466.95,503.55,398.1,211.2,176.55,149.55,103.2,107.85,105,1250,高供高计,1500,东新营业班
2014-12-10,="0147900426",58000(E290),="4201",计量:2774243,5,1.95,-2.1,2.7,7.35,3.9,12.15,-7.2,-0.45,18.45,107.7,121.65,137.55,178.65,174.3,176.85,185.4,210.6,176.7,60.75,30.45,23.1,-3,-1.95,1.2,1250,高供高计,1500,东新营业班
